User ID,Date/Time,Device No.,Status
10,10/2/24 13:00,1,0
10,10/2/24 13:00,1,0
10,10/2/24 13:00,1,0
10,10/2/24 19:33,1,1
10,10/2/24 19:33,1,1
10,10/2/24 19:33,1,1
10,10/4/24 10:04,1,0
10,10/4/24 10:04,1,0
10,10/4/24 10:04,1,0
10,10/4/24 19:09,1,1
10,10/4/24 19:09,1,1
10,10/4/24 19:10,1,1
10,10/4/24 19:10,1,1
10,10/5/24 10:06,1,0
10,10/5/24 10:06,1,0
10,10/5/24 10:06,1,0
10,10/5/24 10:06,1,0
10,10/5/24 19:02,1,1
10,10/5/24 19:02,1,1
10,10/5/24 19:02,1,1
10,10/5/24 19:02,1,1
10,10/6/24 8:00,1,0
10,10/6/24 8:00,1,0
10,10/6/24 8:00,1,0
10,10/6/24 18:02,1,1
10,10/6/24 18:02,1,1
10,10/6/24 18:02,1,1
10,10/6/24 18:02,1,1
10,10/7/24 10:05,1,0
10,10/7/24 10:05,1,0
10,10/7/24 10:05,1,0
10,10/7/24 19:03,1,1
10,10/7/24 19:03,1,1
10,10/7/24 19:03,1,1
10,10/8/24 10:06,1,0
10,10/8/24 10:06,1,0
10,10/8/24 10:06,1,0
10,10/8/24 19:01,1,1
10,10/8/24 19:01,1,1
10,10/8/24 19:01,1,1
10,10/8/24 19:01,1,1
10,10/10/24 10:02,1,0
10,10/10/24 10:02,1,0
10,10/10/24 10:02,1,0
10,10/10/24 19:01,1,1
10,10/10/24 19:01,1,1
10,10/10/24 19:01,1,1
10,10/11/24 10:03,1,0
10,10/11/24 10:03,1,0
10,10/11/24 10:03,1,0
10,10/11/24 19:00,1,1
10,10/11/24 19:00,1,1
10,10/11/24 19:00,1,1
10,10/11/24 19:00,1,1
10,10/12/24 10:06,1,0
10,10/12/24 10:06,1,0
10,10/12/24 10:06,1,0
10,10/12/24 10:06,1,0
10,10/12/24 19:02,1,1
10,10/12/24 19:02,1,1
10,10/12/24 19:02,1,1
10,10/14/24 10:02,1,0
10,10/14/24 10:02,1,0
10,10/14/24 10:02,1,0
10,10/14/24 10:02,1,0
10,10/14/24 19:03,1,1
10,10/14/24 19:03,1,1
10,10/14/24 19:03,1,1
10,10/14/24 19:03,1,1
10,10/15/24 9:59,1,0
10,10/15/24 9:59,1,0
10,10/15/24 9:59,1,0
10,10/15/24 9:59,1,0
10,10/15/24 19:02,1,1
10,10/15/24 19:02,1,1
10,10/15/24 19:02,1,1
10,10/15/24 19:02,1,1
10,10/17/24 10:03,1,0
10,10/17/24 10:03,1,0
10,10/17/24 10:03,1,0
10,10/17/24 10:03,1,0
10,10/17/24 19:03,1,1
10,10/17/24 19:03,1,1
10,10/18/24 10:07,1,0
10,10/18/24 10:07,1,0
10,10/18/24 10:07,1,0
10,10/18/24 19:01,1,1
10,10/18/24 19:01,1,1
10,10/18/24 19:01,1,1
10,10/19/24 9:58,1,0
10,10/19/24 9:58,1,0
10,10/19/24 9:58,1,0
10,10/19/24 9:58,1,0
