User ID,Date/Time,Device No.,Status
19,1/3/25 8:00,1,0
19,1/3/25 8:00,1,0
19,1/3/25 8:00,1,0
19,1/3/25 19:00,1,1
19,1/3/25 19:00,1,1
19,1/3/25 19:00,1,1
19,1/4/25 8:00,1,0
19,1/4/25 8:00,1,0
19,1/4/25 8:00,1,0
19,1/4/25 19:01,1,1
19,1/4/25 19:01,1,1
19,1/4/25 19:01,1,1
19,1/4/25 19:01,1,1
2,12/20/24 8:14,1,0
22,12/27/24 8:18,1,0
22,12/27/24 8:18,1,0
22,12/27/24 8:18,1,0
22,12/27/24 8:18,1,0
22,12/27/24 17:16,1,1
22,12/27/24 17:16,1,1
22,12/27/24 17:16,1,1
22,12/27/24 17:16,1,1
22,12/28/24 10:08,1,0
22,12/28/24 10:08,1,0
22,12/28/24 10:08,1,0
22,12/28/24 18:08,1,1
22,12/28/24 18:08,1,1
22,12/28/24 18:08,1,1
22,12/28/24 18:08,1,1
22,12/29/24 17:11,1,1
22,12/29/24 17:11,1,1
22,12/29/24 17:11,1,1
22,1/3/25 10:15,1,0
22,1/3/25 10:15,1,0
22,1/3/25 10:15,1,0
22,1/3/25 10:15,1,0
22,1/3/25 19:14,1,1
22,1/3/25 19:14,1,1
22,1/3/25 19:14,1,1
22,1/3/25 19:14,1,1
22,1/4/25 9:03,1,0
22,1/4/25 9:03,1,0
22,1/4/25 9:03,1,0
22,1/4/25 9:03,1,0
22,1/4/25 17:13,1,1
22,1/4/25 17:13,1,1
22,1/4/25 17:13,1,1
23,12/27/24 12:28,1,0
23,12/27/24 12:28,1,0
23,12/27/24 12:28,1,0
23,12/27/24 12:28,1,0
23,12/27/24 12:28,1,0
23,12/27/24 12:28,1,0
23,12/27/24 22:00,1,1
23,12/27/24 22:00,1,1
23,12/27/24 22:00,1,1
23,12/27/24 22:00,1,1
23,12/27/24 22:00,1,1
23,12/28/24 12:19,1,0
23,12/28/24 12:19,1,0
23,12/28/24 12:19,1,0
23,12/28/24 12:19,1,0
23,12/28/24 12:19,1,0
23,12/28/24 22:00,1,1
23,12/28/24 22:00,1,1
23,12/28/24 22:00,1,1
23,12/28/24 22:00,1,1
23,12/28/24 22:00,1,1
23,12/29/24 11:14,1,0
23,12/29/24 11:14,1,0
23,12/29/24 11:14,1,0
23,12/29/24 11:14,1,0
23,12/29/24 11:14,1,0
23,12/29/24 11:14,1,0
23,12/30/24 1:00,1,1
23,12/30/24 1:00,1,1
23,12/30/24 1:00,1,1
23,12/30/24 1:00,1,1
23,12/30/24 1:00,1,1
23,12/30/24 1:00,1,1
23,12/30/24 11:32,1,0
23,12/30/24 11:33,1,0
23,12/30/24 11:33,1,0
23,12/30/24 11:33,1,0
23,12/30/24 11:33,1,0
23,12/30/24 23:03,1,1
23,12/30/24 23:03,1,1
23,12/30/24 23:03,1,1
23,12/30/24 23:03,1,1
23,12/30/24 23:03,1,1
23,12/30/24 23:03,1,1
23,1/2/25 12:21,1,0
23,1/2/25 12:21,1,0
23,1/2/25 12:21,1,0
23,1/2/25 12:21,1,0
23,1/2/25 12:21,1,0
23,1/3/25 1:01,1,1
23,1/3/25 1:01,1,1
23,1/3/25 1:02,1,1
23,1/3/25 1:02,1,1
23,1/3/25 1:02,1,1
23,1/3/25 12:51,1,0
23,1/3/25 12:51,1,0
23,1/3/25 12:51,1,0
23,1/3/25 12:51,1,0
23,1/3/25 12:51,1,0
23,1/4/25 2:02,1,1
23,1/4/25 2:02,1,1
23,1/4/25 2:02,1,1
23,1/4/25 2:02,1,1
23,1/4/25 2:02,1,1
23,1/4/25 12:22,1,0
23,1/4/25 12:23,1,0
23,1/4/25 12:23,1,0
23,1/4/25 12:23,1,0
23,1/4/25 12:23,1,0
24,1/3/25 8:00,1,0
24,1/3/25 17:31,1,1
24,1/4/25 8:00,1,0
24,1/4/25 17:31,1,1
25,12/20/24 7:56,1,0
25,12/20/24 7:56,1,0
25,12/20/24 7:56,1,0
25,12/20/24 15:16,1,1
25,12/20/24 15:16,1,1
25,12/20/24 15:16,1,1
25,12/28/24 17:05,1,1
25,12/28/24 17:05,1,1
25,12/28/24 17:05,1,1
25,1/4/25 7:53,1,0
25,1/4/25 7:53,1,0
